,연도,월,일,시간,시군구명,읍면동명,온도,습도,시간단위풍속,현장소방서거리,화재진압시간,전체인력수합계,damagearea
573,2016.0,2.0,8.0,13,횡성군,횡성읍,0.0,60.0,225.0,14.0,21135.0,222.0,3.0
575,2016.0,2.0,10.0,13,춘천시,북산면,6.0,28.0,135.0,30.0,2216.0,110.0,0.02
576,2016.0,2.0,18.0,23,동해시,발한동,8.0,41.0,225.0,7.0,25100.0,504.0,0.26
578,2016.0,2.0,21.0,15,정선군,남면,-4.0,63.0,135.0,27.0,14800.0,112.0,0.3
579,2016.0,2.0,23.0,13,인제군,북면,3.0,27.0,315.0,29.0,10906.0,103.0,1.0
581,2016.0,2.0,23.0,13,양구군,양구읍,5.0,28.0,270.0,57.0,10201.0,122.0,0.5
583,2016.0,2.0,23.0,17,화천군,사내면,-4.0,65.0,315.0,49.0,4800.0,35.0,0.03
584,2016.0,2.0,26.0,14,춘천시,동내면,7.0,22.0,225.0,10.0,2105.0,60.0,0.01
586,2016.0,2.0,26.0,15,영월군,상동읍,6.0,0.0,270.0,32.0,5518.0,90.0,0.05
588,2016.0,3.0,4.0,13,춘천시,북산면,0.0,0.0,,28.0,1705.0,83.0,0.03
589,2016.0,3.0,4.0,17,철원군,갈말읍,18.0,26.0,270.0,22.0,10106.0,53.0,0.1
590,2016.0,3.0,6.0,15,정선군,남면,13.0,24.0,225.0,15.0,5737.0,113.0,0.1
592,2016.0,3.0,15.0,17,화천군,상서면,0.0,0.0,,50.0,4500.0,63.0,0.1
593,2016.0,3.0,16.0,11,영월군,북면,10.0,26.0,270.0,4.0,5623.0,92.0,0.02
595,2016.0,3.0,16.0,13,횡성군,우천면,0.0,0.0,,14.0,4704.0,64.0,0.04
